name,latitude,longitude,subcategories/0,numberOfRooms,hotelClass,num_amenities,ceilhotelClass,energy_consumption,usable_area,cluster,color,area_to_energy_ratio,carbon_emission,efficiency
Daraya Boutique Hotel,13.748143,100.527214,Hotel,53.0,3.0,29,3.0,147,1787,0,High Efficiency,12.16,262.69,12.16
Hotel de Bangkok,13.757103,100.5429,Hotel,50.0,3.0,64,3.0,159,1468,0,High Efficiency,9.23,233.41,9.23
Hotel Mermaid Bangkok,13.734217,100.56538,Hotel,69.0,4.0,37,4.0,184,2476,0,High Efficiency,13.46,455.58,13.46
Arun Residence,13.744759,100.49128,Bed and Breakfast,7.0,3.0,42,3.0,41,207,1,High Efficiency,5.05,8.49,5.05
The Park Nine Srinakarin,13.68359,100.64965,Hotel,54.0,4.0,49,4.0,156,2163,0,High Efficiency,13.87,337.43,13.87
Bangkok Venice Suite,13.748822,100.54446,Hotel,55.0,0.0,15,0.0,125,1334,0,High Efficiency,10.67,166.75,10.67
Urbana Langsuan,13.739747,100.54386,Specialty Lodging,128.0,4.0,35,4.0,303,4332,2,Low Efficiency,14.3,1312.6,14.3
Charlie House Pinklao,13.777933,100.4807,Hotel,28.0,3.0,31,3.0,75,919,1,High Efficiency,12.25,68.92,12.25
U-Tiny Boutique Hotel SHA+,13.745826,100.70315,Hotel,38.0,3.0,76,3.0,136,1134,1,High Efficiency,8.34,154.22,8.34
Bangkok Saran Poshtel,13.766021,100.49786,Hotel,30.0,3.0,16,3.0,78,1023,1,High Efficiency,13.12,79.79,13.12
Oriental Smile Hotel,13.758357,100.53966,Hotel,14.0,2.0,41,2.0,51,427,1,High Efficiency,8.37,21.78,8.37
Baan Chart,13.760312,100.49643,Bed and Breakfast,42.0,3.5,38,4.0,117,1554,0,High Efficiency,13.28,181.82,13.28
Siamotif Boutique Hotel,13.766801,100.47391,Bed and Breakfast,9.0,3.0,32,3.0,36,287,1,High Efficiency,7.97,10.33,7.97
Here Hostel,13.755493,100.50347,Specialty Lodging,10.0,2.5,28,3.0,38,332,1,High Efficiency,8.74,12.62,8.74
Aspira Sukhumvit,13.740879,100.55567,Bed and Breakfast,50.0,2.0,22,2.0,114,1493,0,High Efficiency,13.1,170.2,13.1
Panini Residence,13.72062,100.75667,Specialty Lodging,51.0,3.0,30,3.0,136,1605,0,High Efficiency,11.8,218.28,11.8
Nappiness Hotel,13.758297,100.50428,Hotel,30.0,0.0,19,0.0,77,724,1,High Efficiency,9.4,55.75,9.4
The Rose Residence,13.73057,100.53008,Bed and Breakfast,28.0,3.0,18,3.0,73,925,1,High Efficiency,12.67,67.53,12.67
Tango Vibrant Living Place,13.753786,100.54251,Specialty Lodging,70.0,3.0,38,3.0,182,2232,0,High Efficiency,12.26,406.22,12.26
Oakwood Residence Sukhumvit Thonglor,13.734747,100.58079,Hotel,67.0,4.0,38,4.0,183,2441,0,High Efficiency,13.34,446.7,13.34
Urbana Sathorn,13.722994,100.53611,Hotel,1.0,4.0,37,4.0,23,36,1,High Efficiency,1.57,0.83,1.57
Phranakorn-Nornlen Hotel,13.767768,100.50408,Hotel,31.0,3.0,19,3.0,72,1017,1,High Efficiency,14.12,73.22,14.12
UPAR Hotels Sukhumvit 11 Nana,13.745726,100.55562,Hotel,28.0,3.0,38,3.0,88,950,1,High Efficiency,10.8,83.6,10.8
Aora Boutique Hotel Chatuchak,13.79459,100.54961,Specialty Lodging,7.0,2.0,24,2.0,30,220,1,High Efficiency,7.33,6.6,7.33
The Coach Boutique Hotel,13.735271,100.56004,Specialty Lodging,92.0,0.0,76,0.0,237,2043,0,Low Efficiency,8.62,484.19,8.62
Noursabah Boutique Bed Bangkok,13.755861,100.5302,Bed and Breakfast,13.0,3.0,28,3.0,41,434,1,High Efficiency,10.59,17.79,10.59
Nandha Hotel,13.735472,100.56814,Bed and Breakfast,27.0,2.0,32,2.0,71,746,1,High Efficiency,10.51,52.97,10.51
Lamphu Tree House,13.760362,100.50251,Hotel,40.0,3.0,56,3.0,120,1320,0,High Efficiency,11.0,158.4,11.0
Home16 Hostel 16 Sukhumvit,13.729662,100.560905,Specialty Lodging,13.0,2.0,60,2.0,59,375,1,High Efficiency,6.36,22.12,6.36
Heyyyy Bangkok,13.735992,100.63942,Specialty Lodging,6.0,2.0,34,2.0,32,166,1,High Efficiency,5.19,5.31,5.19
DS67 Suites,13.716368,100.58975,Hotel,27.0,3.0,24,3.0,73,863,1,High Efficiency,11.82,63.0,11.82
Tavee Guest House,13.772106,100.50468,Specialty Lodging,35.0,0.0,10,0.0,91,732,1,High Efficiency,8.04,66.61,8.04
The Key Bangkok Hotel by Compass Hospitality,13.738901,100.55994,Hotel,43.0,3.0,40,3.0,117,1384,0,High Efficiency,11.83,161.93,11.83
JL Bangkok,13.76236,100.64512,Bed and Breakfast,50.0,3.0,29,3.0,128,1803,0,High Efficiency,14.09,230.78,14.09
Kloem Hostel,13.75732,100.52219,Specialty Lodging,11.0,2.0,19,2.0,36,281,1,High Efficiency,7.81,10.12,7.81
The Ember Hotel,13.760681,100.49782,Hotel,48.0,0.0,33,0.0,122,1007,1,High Efficiency,8.25,122.85,8.25
The Mustang Blu,13.739127,100.514915,Hotel,10.0,0.0,0,0.0,23,236,1,High Efficiency,10.26,5.43,10.26
United Residence,13.736274,100.58881,Specialty Lodging,42.0,3.0,50,3.0,128,1423,0,High Efficiency,11.12,182.14,11.12
Buddy Boutique Inn,13.759337,100.495514,Bed and Breakfast,23.0,3.0,25,3.0,70,812,1,High Efficiency,11.6,56.84,11.6
Swana Bangkok Hotel,13.764723,100.50278,Hotel,55.0,3.0,33,3.0,133,1883,0,High Efficiency,14.16,250.44,14.16
The Unforgotten B&B,13.736824,100.514565,Bed and Breakfast,5.0,3.0,37,3.0,34,179,1,High Efficiency,5.26,6.09,5.26
VX The Fifty Hostel,13.704697,100.59572,Specialty Lodging,14.0,2.0,27,2.0,45,391,1,High Efficiency,8.69,17.6,8.69
The Fig Lobby,13.718253,100.56383,Hotel,68.0,4.0,73,4.0,194,2329,0,High Efficiency,12.01,451.83,12.01
Bodega Hostels,13.739729,100.5653,Specialty Lodging,5.0,0.0,21,0.0,23,99,1,High Efficiency,4.3,2.28,4.3
Blue Chang House,13.76402,100.50095,Specialty Lodging,25.0,2.0,31,2.0,71,684,1,High Efficiency,9.63,48.56,9.63
New Siam III Guest House,13.759693,100.4976,Hotel,12.0,2.0,10,2.0,31,330,1,High Efficiency,10.65,10.23,10.65
Paradiso Boutique Suites,13.73874,100.557465,Bed and Breakfast,20.0,3.0,19,3.0,56,609,1,High Efficiency,10.88,34.1,10.88
Baan Nampetch Hostel,13.761033,100.50157,Specialty Lodging,24.0,2.0,23,2.0,62,663,1,High Efficiency,10.69,41.11,10.69
3Howw Hostel@Sukhumvit 21,13.740227,100.56204,Specialty Lodging,90.0,2.0,19,2.0,194,2483,0,Low Efficiency,12.8,481.7,12.8
True Siam Rangnam Hotel,13.758248,100.53962,Hotel,42.0,3.0,44,3.0,110,1505,0,High Efficiency,13.68,165.55,13.68
Beat Hotel Bangkok,13.715041,100.5938,Hotel,54.0,3.0,19,3.0,121,1597,0,High Efficiency,13.2,193.24,13.2
Good One Poshtel & Cafe Bar,13.725509,100.52872,Specialty Lodging,33.0,2.0,19,2.0,78,876,1,High Efficiency,11.23,68.33,11.23
Slumber Party Khao San Party Hostel,13.759046,100.496994,Bed and Breakfast,60.0,0.0,12,0.0,146,1443,0,High Efficiency,9.88,210.68,9.88
Citichic Hotel Sukhumvit by Compass Hospitality,13.744986,100.55812,Hotel,37.0,3.0,37,3.0,98,1305,0,High Efficiency,13.32,127.89,13.32
