name,latitude,longitude,subcategories/0,numberOfRooms,hotelClass,num_amenities,ceilhotelClass,energy_consumption,usable_area,cluster,color,area_to_energy_ratio,carbon_emission,efficiency
V Residence Hotel and Serviced Apartment,13.7292,100.57122,Hotel,48.0,4.0,59,4.0,130,1648,0,High Efficiency,12.68,214.24,12.68
Baan Silom Soi 3,13.725615,100.53119,Bed and Breakfast,16.0,2.0,36,2.0,55,415,1,High Efficiency,7.55,22.82,7.55
d Hostel Bangkok,13.754668,100.49773,Specialty Lodging,80.0,2.0,22,2.0,204,2459,0,Low Efficiency,12.05,501.64,12.05
iCheck Inn Silom,13.724211,100.52134,Hotel,26.0,3.0,31,3.0,72,901,1,High Efficiency,12.51,64.87,12.51
Happy Monkey Hostel Bangkok,13.753358,100.53733,Specialty Lodging,53.0,2.0,12,2.0,118,1566,0,High Efficiency,13.27,184.79,13.27
Admire Thonburi,13.726178,100.49146,Bed and Breakfast,18.0,3.0,20,3.0,53,645,1,High Efficiency,12.17,34.18,12.17
ONEDAY | Pause and Forward,13.726547,100.57022,Specialty Lodging,31.0,2.0,26,2.0,85,953,1,High Efficiency,11.21,81.0,11.21
The Blocks Hostel,13.738461,100.55762,Specialty Lodging,19.0,2.0,33,2.0,61,565,1,High Efficiency,9.26,34.47,9.26
Chateau de Bangkok,13.739277,100.54984,Hotel,135.0,4.0,40,4.0,309,4756,2,Low Efficiency,15.39,1469.6,15.39
Olive Bangkok Hotel,13.687609,100.60716,Specialty Lodging,47.0,3.5,21,4.0,114,1805,0,High Efficiency,15.83,205.77,15.83
Once Again Hostel,13.752945,100.503426,Specialty Lodging,13.0,2.0,29,2.0,42,351,1,High Efficiency,8.36,14.74,8.36
Khaosan Immjai,13.763819,100.49885,Specialty Lodging,4.0,2.0,23,2.0,23,123,1,High Efficiency,5.35,2.83,5.35
S1 Hostel,13.72442,100.54798,Specialty Lodging,45.0,2.0,18,2.0,112,1341,0,High Efficiency,11.97,150.19,11.97
Wendy House,13.748208,100.529755,Bed and Breakfast,38.0,3.0,32,3.0,101,1310,0,High Efficiency,12.97,132.31,12.97
Warm White Hostel,13.76164,100.49762,Specialty Lodging,8.0,2.0,29,2.0,35,208,1,High Efficiency,5.94,7.28,5.94
Glad Bangkok Hostel Bar And Restaurant,13.719346,100.514175,Specialty Lodging,3.0,3.0,22,3.0,18,100,1,High Efficiency,5.56,1.8,5.56
Time Sabai 134,13.760466,100.502335,Specialty Lodging,9.0,2.0,33,2.0,38,262,1,High Efficiency,6.89,9.96,6.89
FAB House Bangkok,13.710922,100.52127,Specialty Lodging,10.0,2.0,34,2.0,40,305,1,High Efficiency,7.62,12.2,7.62
Sivarin Guesthouse,13.76332,100.49912,Bed and Breakfast,8.0,0.0,3,0.0,19,159,1,High Efficiency,8.37,3.02,8.37
Citadines Sukhumvit 16 Bangkok,13.7341,100.5609,Hotel,79.0,3.0,50,3.0,221,2725,2,Low Efficiency,12.33,602.22,12.33
Diff Hostel,13.754307,100.5312,Specialty Lodging,11.0,2.0,29,2.0,44,304,1,High Efficiency,6.91,13.38,6.91
Baan Chantra,13.764569,100.49983,Bed and Breakfast,6.0,2.0,29,2.0,28,181,1,High Efficiency,6.46,5.07,6.46
Arun Old Town Hostel,13.739255,100.48473,Specialty Lodging,7.0,2.0,11,2.0,22,205,1,High Efficiency,9.32,4.51,9.32
Bussaba Bangkok,13.781917,100.74877,Hotel,14.0,3.0,33,3.0,51,499,1,High Efficiency,9.78,25.45,9.78
Metro Pratunam Boutique Hotel,13.750583,100.5466,Specialty Lodging,23.0,3.0,31,3.0,69,795,1,High Efficiency,11.52,54.86,11.52
ThongLor Travellers Hostel and Cafe,13.723931,100.57917,Specialty Lodging,4.0,2.0,26,2.0,23,115,1,High Efficiency,5.0,2.64,5.0
OYO 688 Bangkok Hub Hostel,13.717387,100.51471,Specialty Lodging,30.0,0.0,17,0.0,77,715,1,High Efficiency,9.29,55.06,9.29
The Printing House Poshtel,13.754835,100.50134,Specialty Lodging,15.0,2.0,50,2.0,59,424,1,High Efficiency,7.19,25.02,7.19
Baan Pra Nond Bed & Breakfast,13.717841,100.51968,Bed and Breakfast,9.0,3.0,27,3.0,34,294,1,High Efficiency,8.65,10.0,8.65
Atlanta Hotel,13.737272,100.55196,Hotel,59.0,0.0,12,0.0,152,1139,1,High Efficiency,7.49,173.13,7.49
In a Box Hostel,13.755979,100.53364,Specialty Lodging,3.0,2.0,16,2.0,16,90,1,High Efficiency,5.62,1.44,5.62
WH Hostel,13.736118,100.55172,Specialty Lodging,4.0,2.0,15,2.0,16,115,1,High Efficiency,7.19,1.84,7.19
Golden Mountain Hostel,13.752531,100.50546,Specialty Lodging,7.0,2.0,18,2.0,23,187,1,High Efficiency,8.13,4.3,8.13
The Twelve Hotel,13.739105,100.57722,Hotel,12.0,3.0,40,3.0,53,441,1,High Efficiency,8.32,23.37,8.32
Shanti Lodge,13.771955,100.503456,Specialty Lodging,20.0,2.0,21,2.0,52,577,1,High Efficiency,11.1,30.0,11.1
39 Boulevard Executive Residence,13.737921,100.56983,Bed and Breakfast,12.0,4.0,37,4.0,48,460,1,High Efficiency,9.58,22.08,9.58
iSanook Hostel,13.732317,100.52183,Specialty Lodging,11.0,3.0,47,3.0,50,343,1,High Efficiency,6.86,17.15,6.86
Mile Map Hostel,13.723837,100.52305,Specialty Lodging,17.0,0.0,19,0.0,49,396,1,High Efficiency,8.08,19.4,8.08
Luk Hostel,13.739722,100.50785,Specialty Lodging,19.0,2.0,19,2.0,53,554,1,High Efficiency,10.45,29.36,10.45
Smile Society,13.727844,100.53055,Specialty Lodging,12.0,2.0,30,2.0,41,330,1,High Efficiency,8.05,13.53,8.05
iCheck inn Sukhumvit 19,13.739662,100.5594,Bed and Breakfast,21.0,3.0,14,3.0,50,651,1,High Efficiency,13.02,32.55,13.02
GM Suites,13.746931,100.55366,Specialty Lodging,51.0,4.0,24,4.0,122,1988,0,High Efficiency,16.3,242.54,16.3
The Asadang,13.7483,100.49647,Bed and Breakfast,9.0,3.0,25,3.0,36,267,1,High Efficiency,7.42,9.61,7.42
Baron Zotel Bangkok,13.77453,100.64056,Hotel,50.0,3.0,42,3.0,122,1586,0,High Efficiency,13.0,193.49,13.0
Baan Tepa,13.769051,100.50775,Specialty Lodging,8.0,2.0,24,2.0,29,234,1,High Efficiency,8.07,6.79,8.07
Navalai River Resort,13.763083,100.49435,Specialty Lodging,74.0,3.0,55,3.0,214,2382,0,Low Efficiency,11.13,509.75,11.13
Ibrik Resort by the River,13.75367,100.48655,Hotel,3.0,3.0,34,3.0,25,97,1,High Efficiency,3.88,2.42,3.88
The Period Pratunam,13.753317,100.53745,Bed and Breakfast,14.0,3.0,28,3.0,45,476,1,High Efficiency,10.58,21.42,10.58
Green House BKK,13.760155,100.49702,Specialty Lodging,75.0,2.0,14,2.0,166,1923,0,High Efficiency,11.58,319.22,11.58
Samsen 360 Hostel,13.762877,100.50095,Specialty Lodging,4.0,2.0,27,2.0,23,119,1,High Efficiency,5.17,2.74,5.17
Radisson Suites Bangkok Sukhumvit,13.74342,100.55764,Hotel,54.0,4.0,36,4.0,131,1941,0,High Efficiency,14.82,254.27,14.82
Khaosan Baan Thai,13.76571,100.49671,Hotel,10.0,0.0,9,0.0,25,196,1,High Efficiency,7.84,4.9,7.84
Dharasom's Colonial House,13.72135,100.75589,Hotel,9.0,3.0,26,3.0,34,295,1,High Efficiency,8.68,10.03,8.68
Maven Stylish Hotel Bangkok,13.747525,100.57165,Hotel,70.0,4.0,48,4.0,182,2526,0,High Efficiency,13.88,459.73,13.88
Yim Bangkok Hostel,13.778469,100.57441,Specialty Lodging,15.0,2.0,37,2.0,58,449,1,High Efficiency,7.74,26.04,7.74
SiRi Oriental Bangkok Hotel,13.754463,100.49785,Bed and Breakfast,36.0,3.0,18,3.0,87,1291,0,High Efficiency,14.84,112.32,14.84
Klassique Sukhumvit,13.710659,100.5982,Hotel,45.0,3.0,28,3.0,120,1491,0,High Efficiency,12.42,178.92,12.42
The Little Pig Sukhumvit,13.716557,100.58876,Specialty Lodging,22.0,1.0,23,1.0,57,564,1,High Efficiency,9.89,32.15,9.89
BS Court Boutique Residence,13.722292,100.53672,Hotel,30.0,2.0,18,2.0,79,890,1,High Efficiency,11.27,70.31,11.27
Patumwan House,13.748991,100.5293,Bed and Breakfast,20.0,3.0,45,3.0,73,665,1,High Efficiency,9.11,48.54,9.11
The Star of Sathorn Hotel,13.719972,100.49586,Bed and Breakfast,15.0,3.5,52,4.0,61,544,1,High Efficiency,8.92,33.18,8.92
House23,13.73342,100.57581,Specialty Lodging,4.0,2.0,21,2.0,19,111,1,High Efficiency,5.84,2.11,5.84
The Seven Luck,13.753498,100.51585,Specialty Lodging,46.0,2.0,30,2.0,109,1255,0,High Efficiency,11.51,136.79,11.51
Lullaby Inn,13.725563,100.525536,Hotel,20.0,3.0,36,3.0,63,674,1,High Efficiency,10.7,42.46,10.7
Pa Prank,13.75317,100.497375,Specialty Lodging,4.0,2.0,23,2.0,21,112,1,High Efficiency,5.33,2.35,5.33
Udee Bangkok Hostel,13.792865,100.545586,Specialty Lodging,10.0,0.0,18,0.0,30,185,1,High Efficiency,6.17,5.55,6.17
Holy Sheet Hostel,13.716228,100.58849,Specialty Lodging,5.0,3.0,24,3.0,23,149,1,High Efficiency,6.48,3.43,6.48
Sam's Lodge,13.739228,100.56011,Bed and Breakfast,18.0,2.0,31,2.0,61,544,1,High Efficiency,8.92,33.18,8.92
Cazz Cafe And Hostel,13.712179,100.59564,Specialty Lodging,30.0,2.0,41,2.0,84,781,1,High Efficiency,9.3,65.6,9.3
Better Bed Hostel,13.716166,100.58842,Specialty Lodging,5.0,0.0,13,0.0,17,104,1,High Efficiency,6.12,1.77,6.12
Nitan Hostel Khaosan,13.75873,100.49712,Specialty Lodging,24.0,2.0,10,2.0,54,622,1,High Efficiency,11.52,33.59,11.52
K.T. Guest House,13.782039,100.566536,Bed and Breakfast,38.0,0.0,13,0.0,92,802,1,High Efficiency,8.72,73.78,8.72
DPM Bangkok Hostel Bar & Travel,13.759502,100.49705,Specialty Lodging,5.0,2.0,18,2.0,20,149,1,High Efficiency,7.45,2.98,7.45
BB House,13.762262,100.49406,Bed and Breakfast,30.0,0.0,1,0.0,61,631,1,High Efficiency,10.34,38.49,10.34
De Talak Hostel,13.720729,100.561676,Specialty Lodging,23.0,2.0,18,2.0,64,698,1,High Efficiency,10.91,44.67,10.91
Littlest Guesthouse,13.723353,100.536156,Specialty Lodging,3.0,0.0,12,0.0,13,72,1,High Efficiency,5.54,0.94,5.54
Sabye Club Hostel,13.762385,100.50218,Specialty Lodging,4.0,2.0,22,2.0,20,107,1,High Efficiency,5.35,2.14,5.35
Home Mali Hostel,13.75384,100.53065,Specialty Lodging,4.0,2.0,17,2.0,18,102,1,High Efficiency,5.67,1.84,5.67
Legacy Express Hotel Sukhumvit,13.742711,100.55123,Hotel,63.0,3.0,40,3.0,163,2113,0,High Efficiency,12.96,344.42,12.96
Yim Yam Hostel & Garden,13.753178,100.53253,Specialty Lodging,21.0,2.0,21,2.0,54,639,1,High Efficiency,11.83,34.51,11.83
Nest by Sangob,13.769292,100.58092,Bed and Breakfast,21.0,3.0,21,3.0,55,653,1,High Efficiency,11.87,35.92,11.87
Lamurr Hostel,13.729516,100.57214,Specialty Lodging,34.0,2.0,22,2.0,94,1086,1,High Efficiency,11.55,102.08,11.55
Siam Plug In Boutique Hostel,13.719529,100.50651,Specialty Lodging,36.0,2.0,30,2.0,105,993,1,High Efficiency,9.46,104.26,9.46
Paragon One Residence,13.757705,100.50294,Specialty Lodging,27.0,2.0,22,2.0,70,791,1,High Efficiency,11.3,55.37,11.3
Suphan Lake Hometel,13.762028,100.73169,Hotel,36.0,3.0,34,3.0,103,1119,1,High Efficiency,10.86,115.26,10.86
Diamond House,13.762747,100.49877,Hotel,22.0,3.0,30,3.0,64,747,1,High Efficiency,11.67,47.81,11.67
Hotel Vista Express,13.751857,100.53903,Hotel,77.0,3.0,38,3.0,174,2399,0,High Efficiency,13.79,417.43,13.79
Be My Guest Bed and Breakfast,13.78517,100.57386,Bed and Breakfast,4.0,0.0,9,0.0,13,99,1,High Efficiency,7.62,1.29,7.62
Thrive The Hostel Bangkok,13.731197,100.53259,Specialty Lodging,27.0,0.0,7,0.0,66,638,1,High Efficiency,9.67,42.11,9.67
Gaam Hotel,13.753637,100.5374,Specialty Lodging,25.0,3.0,30,3.0,67,785,1,High Efficiency,11.72,52.6,11.72
Baan Udom Hostel,13.73526,100.51152,Bed and Breakfast,17.0,2.5,22,3.0,48,560,1,High Efficiency,11.67,26.88,11.67
Cafe Ice Residences,13.723547,100.53131,Bed and Breakfast,9.0,3.0,45,3.0,45,282,1,High Efficiency,6.27,12.69,6.27
Analog Hostel,13.734459,100.56601,Specialty Lodging,44.0,2.0,22,2.0,99,1232,0,High Efficiency,12.44,121.97,12.44
Everyday Bangkok Hostel @Khaosan,13.762718,100.5015,Specialty Lodging,25.0,2.0,16,2.0,68,716,1,High Efficiency,10.53,48.69,10.53
Amarin Inn,13.762323,100.49686,Hotel,22.0,2.0,10,2.0,56,580,1,High Efficiency,10.36,32.48,10.36
Vista Residence Bangkok,13.747986,100.52721,Bed and Breakfast,15.0,0.0,22,0.0,42,343,1,High Efficiency,8.17,14.41,8.17
Once In Bangkok Guesthouse,13.76022,100.5031,Bed and Breakfast,8.0,2.0,19,2.0,27,220,1,High Efficiency,8.15,5.94,8.15
Innspire Bangkok,13.755522,100.499725,Hotel,8.0,0.0,29,0.0,31,159,1,High Efficiency,5.13,4.93,5.13
The Bhuthorn,13.751643,100.49754,Bed and Breakfast,3.0,2.0,30,2.0,24,80,1,High Efficiency,3.33,1.92,3.33
P & R Residence,13.728466,100.51445,Bed and Breakfast,20.0,3.0,38,3.0,65,635,1,High Efficiency,9.77,41.28,9.77
Link Corner Hostel Bangkok,13.755725,100.54213,Specialty Lodging,15.0,2.0,21,2.0,46,474,1,High Efficiency,10.3,21.8,10.3
Bharani Hostel,13.738349,100.56374,Specialty Lodging,30.0,2.0,24,2.0,77,859,1,High Efficiency,11.16,66.14,11.16
Siamese Views Lodge,13.75759,100.50039,Bed and Breakfast,12.0,3.0,9,3.0,30,393,1,High Efficiency,13.1,11.79,13.1
Feel At Home Backpackers,13.761779,100.497894,Specialty Lodging,40.0,0.0,9,0.0,102,786,1,High Efficiency,7.71,80.17,7.71
Gems Park,13.88323,100.60008,Specialty Lodging,30.0,0.0,38,0.0,81,668,1,High Efficiency,8.25,54.11,8.25
24 Samsen Heritage House,13.788096,100.515144,Specialty Lodging,4.0,2.0,19,2.0,18,108,1,High Efficiency,6.0,1.94,6.0
2W Bed & Breakfast,13.738742,100.51456,Specialty Lodging,9.0,2.0,29,2.0,34,271,1,High Efficiency,7.97,9.21,7.97
Sakul House,13.759222,100.498436,Bed and Breakfast,31.0,3.0,35,3.0,81,980,1,High Efficiency,12.1,79.38,12.1
Bangkok Patio,13.773637,100.54074,Hotel,44.0,4.0,31,4.0,109,1591,0,High Efficiency,14.6,173.42,14.6
Local Time Bangkok,13.72088,100.58346,Specialty Lodging,7.0,2.0,9,2.0,21,204,1,High Efficiency,9.71,4.28,9.71
LiveitUp Bangkok,13.735662,100.56209,Specialty Lodging,19.0,2.0,19,2.0,57,514,1,High Efficiency,9.02,29.3,9.02
Baanbangkok chinatown,13.741558,100.51485,Specialty Lodging,5.0,2.0,24,2.0,25,152,1,High Efficiency,6.08,3.8,6.08
Nap At Pan,13.723086,100.52307,Specialty Lodging,24.0,2.0,28,2.0,68,636,1,High Efficiency,9.35,43.25,9.35
OYO 434 Boonsiri Place Hotel,13.754803,100.49727,Hotel,48.0,3.0,36,3.0,122,1546,0,High Efficiency,12.67,188.61,12.67
Mascot Hostel Bangkok,13.753012,100.54539,Specialty Lodging,12.0,2.0,40,2.0,49,353,1,High Efficiency,7.2,17.3,7.2
MonkeyNap hostel,13.72718,100.5731,Specialty Lodging,110.0,2.0,28,2.0,266,3196,2,Low Efficiency,12.02,850.14,12.02
Ricco Residence,13.746158,100.67493,Specialty Lodging,45.0,3.0,32,3.0,120,1563,0,High Efficiency,13.02,187.56,13.02
Bangkok Story,13.776266,100.52066,Specialty Lodging,1.0,2.0,30,2.0,20,27,1,High Efficiency,1.35,0.54,1.35
PIER 49 Hostel,13.72736,100.57542,Specialty Lodging,5.0,2.0,35,2.0,29,151,1,High Efficiency,5.21,4.38,5.21
CityPoint Hotel,13.735507,100.56081,Hotel,54.0,3.0,42,3.0,157,1685,0,High Efficiency,10.73,264.54,10.73
HQ Hostel Silom,13.726385,100.53103,Specialty Lodging,70.0,2.0,21,2.0,177,2161,0,High Efficiency,12.21,382.5,12.21
Napa Place Bed & Breakfast,13.73704,100.55959,Bed and Breakfast,12.0,0.0,35,0.0,47,233,1,High Efficiency,4.96,10.95,4.96
Rat Bed & Breakfast,13.69575,100.38657,Bed and Breakfast,15.0,0.0,5,0.0,36,352,1,High Efficiency,9.78,12.67,9.78
Park Saladaeng,13.727043,100.5381,Bed and Breakfast,12.0,0.0,20,0.0,41,255,1,High Efficiency,6.22,10.46,6.22
Counting Stars Hostel,13.761708,100.49894,Specialty Lodging,7.0,2.0,17,2.0,26,189,1,High Efficiency,7.27,4.91,7.27
Padi Madi Guest House,13.725075,100.57771,Bed and Breakfast,12.0,3.0,40,3.0,49,415,1,High Efficiency,8.47,20.34,8.47
Thara House,13.762542,100.49432,Bed and Breakfast,36.0,2.0,16,2.0,80,1095,1,High Efficiency,13.69,87.6,13.69
Our Secret Base - Hostel,13.739028,100.5133,Specialty Lodging,4.0,2.0,15,2.0,17,122,1,High Efficiency,7.18,2.07,7.18
Hotel De Moc,13.761594,100.50448,Hotel,92.0,0.0,38,0.0,230,2117,0,Low Efficiency,9.2,486.91,9.2
Bangrak House No 32,13.718775,100.51565,Bed and Breakfast,14.0,0.0,17,0.0,41,308,1,High Efficiency,7.51,12.63,7.51
ETZzz Hostel,13.724315,100.548325,Specialty Lodging,60.0,2.0,24,2.0,141,1527,0,High Efficiency,10.83,215.31,10.83
U-Place,13.763726,100.503815,Bed and Breakfast,47.0,3.0,27,3.0,112,1442,0,High Efficiency,12.88,161.5,12.88
Samsen 5 Lodge,13.764388,100.500015,Bed and Breakfast,3.0,0.0,10,0.0,12,70,1,High Efficiency,5.83,0.84,5.83
Golden Pearl Residences,13.691295,100.61745,Specialty Lodging,79.0,3.0,45,3.0,220,2637,0,Low Efficiency,11.99,580.14,11.99
Home Hug Hostel,13.75333,100.544014,Specialty Lodging,36.0,0.0,27,0.0,97,803,1,High Efficiency,8.28,77.89,8.28
Bangkok Publishing Residence,13.756488,100.5079,Bed and Breakfast,8.0,3.5,45,4.0,42,273,1,High Efficiency,6.5,11.47,6.5
Seven Hotel,13.7345,100.56596,Hotel,6.0,4.0,26,4.0,25,222,1,High Efficiency,8.88,5.55,8.88
Get Sleep Bangkok Surawong,13.728054,100.52586,Hotel,29.0,3.0,51,3.0,99,989,1,High Efficiency,9.99,97.91,9.99
All In One Hostel,13.760499,100.49765,Specialty Lodging,7.0,2.0,16,2.0,24,221,1,High Efficiency,9.21,5.3,9.21
At Smile House,13.756024,100.49789,Bed and Breakfast,31.0,2.0,26,2.0,79,943,1,High Efficiency,11.94,74.5,11.94
The Quarter Bangkok Ratchathewi,13.753366,100.53209,Specialty Lodging,3.0,2.0,17,2.0,15,82,1,High Efficiency,5.47,1.23,5.47
RetrOasis Hotel,13.734368,100.56472,Hotel,63.0,3.0,33,3.0,165,2167,0,High Efficiency,13.13,357.56,13.13
Ploen Bangkok Hostel,13.760575,100.49778,Specialty Lodging,14.0,2.0,22,2.0,46,424,1,High Efficiency,9.22,19.5,9.22
D&N Hostel,13.753123,100.49956,Specialty Lodging,11.0,2.0,17,2.0,31,325,1,High Efficiency,10.48,10.07,10.48
Viman Guesthouse,13.763452,100.497826,Bed and Breakfast,12.0,2.0,28,2.0,44,320,1,High Efficiency,7.27,14.08,7.27
The Local Surasak Hostel,13.715556,100.520836,Specialty Lodging,16.0,2.0,16,2.0,48,482,1,High Efficiency,10.04,23.14,10.04
Arawana Express Chinatown,13.742694,100.50811,Hotel,34.0,3.0,20,3.0,89,1029,1,High Efficiency,11.56,91.58,11.56
Petchyindee Kingdom,13.767819,100.48006,Specialty Lodging,24.0,2.0,24,2.0,68,625,1,High Efficiency,9.19,42.5,9.19
Silom Studios,13.727396,100.53712,Bed and Breakfast,10.0,3.0,24,3.0,33,364,1,High Efficiency,11.03,12.01,11.03
The Promenade Hotel,13.738157,100.55589,Hotel,40.0,3.0,39,3.0,118,1376,0,High Efficiency,11.66,162.37,11.66
Arom d Hostel,13.745755,100.49146,Specialty Lodging,8.0,3.0,18,3.0,26,283,1,High Efficiency,10.88,7.36,10.88
Coop Hostel,13.754413,100.53989,Specialty Lodging,5.0,3.0,22,3.0,23,181,1,High Efficiency,7.87,4.16,7.87
Bangkok Christian Guest House,13.727226,100.534325,Hotel,30.0,0.0,13,0.0,67,636,1,High Efficiency,9.49,42.61,9.49
M Gray Hostel & Cafe,13.720332,100.49539,Specialty Lodging,36.0,2.0,42,2.0,96,1088,1,High Efficiency,11.33,104.45,11.33
LemonSeed Rooms,13.751827,100.535355,Bed and Breakfast,15.0,3.0,37,3.0,51,490,1,High Efficiency,9.61,24.99,9.61
Home Base Hostel,13.722639,100.52412,Specialty Lodging,36.0,0.0,17,0.0,92,736,1,High Efficiency,8.0,67.71,8.0
Sri-Ayuttaya Guest House,13.771945,100.50376,Bed and Breakfast,18.0,0.0,3,0.0,41,368,1,High Efficiency,8.98,15.09,8.98
GN Luxury Hostel,13.751104,100.54113,Specialty Lodging,24.0,2.0,43,2.0,75,707,1,High Efficiency,9.43,53.02,9.43
Baan Chanasongkram,13.761763,100.49445,Specialty Lodging,16.0,2.0,21,2.0,46,436,1,High Efficiency,9.48,20.06,9.48
K.C. Guest House,13.724492,100.48268,Bed and Breakfast,21.0,0.0,10,0.0,55,446,1,High Efficiency,8.11,24.53,8.11
Chang Siam Inn,13.75269,100.54631,Bed and Breakfast,28.0,2.0,22,2.0,71,802,1,High Efficiency,11.3,56.94,11.3
Bally Suite Sukhumvit,13.72889,100.56441,Hotel,78.0,3.0,51,3.0,204,2387,0,Low Efficiency,11.7,486.95,11.7
Residence Rajtaevee,13.751222,100.53553,Hotel,76.0,3.0,27,3.0,185,2677,0,Low Efficiency,14.47,495.24,14.47
Ratana Boutique Hostel & Cafe Bangkok,13.756843,100.506966,Specialty Lodging,16.0,2.0,23,2.0,49,448,1,High Efficiency,9.14,21.95,9.14
WYH Boutique and Design Hostel,13.723783,100.49562,Specialty Lodging,2.0,2.0,34,2.0,25,57,1,High Efficiency,2.28,1.42,2.28
128 Room and Massage,13.741673,100.5535,Hotel,4.0,3.0,37,3.0,27,140,1,High Efficiency,5.19,3.78,5.19
Chan Cha La 99 Hostel,13.696172,100.60663,Specialty Lodging,6.0,2.0,9,2.0,17,190,1,High Efficiency,11.18,3.23,11.18
Ramada by Wyndham Ten Ekamai Residences,13.728923,100.59017,Specialty Lodging,81.0,3.0,49,3.0,213,2854,2,Low Efficiency,13.4,607.9,13.4
Some Rest Hostel,13.759628,100.49703,Specialty Lodging,16.0,2.0,27,2.0,51,448,1,High Efficiency,8.78,22.85,8.78
63 Bangkok Boutique Residence Ekamai,13.719644,100.585175,Bed and Breakfast,42.0,2.0,28,2.0,112,1324,0,High Efficiency,11.82,148.29,11.82
Airtel Hideaway Ari,13.783587,100.55211,Bed and Breakfast,10.0,3.0,50,3.0,52,320,1,High Efficiency,6.15,16.64,6.15
Natee Hostel,13.753293,100.537,Specialty Lodging,12.0,2.0,20,2.0,35,360,1,High Efficiency,10.29,12.6,10.29
OYO 532 Meet & Meet Hostel,13.76165,100.49765,Specialty Lodging,84.0,0.0,1,0.0,199,1832,0,High Efficiency,9.21,364.57,9.21
The Moonite Boutique Hotel,13.747386,100.54857,Bed and Breakfast,41.0,3.0,28,3.0,106,1232,0,High Efficiency,11.62,130.59,11.62
Baan Manusarn,13.77025,100.50269,Specialty Lodging,4.0,3.0,14,3.0,16,138,1,High Efficiency,8.62,2.21,8.62
Baan Saladaeng Boutique Guesthouse,13.726411,100.53738,Bed and Breakfast,10.0,3.0,22,3.0,33,310,1,High Efficiency,9.39,10.23,9.39
VeryThai House,13.762222,100.49729,Bed and Breakfast,21.0,3.0,23,3.0,63,708,1,High Efficiency,11.24,44.6,11.24
Pridi Hostel,13.721044,100.59592,Specialty Lodging,6.0,0.0,32,0.0,30,136,1,High Efficiency,4.53,4.08,4.53
SimpleTo Sleep Hostel,13.79548,100.54981,Specialty Lodging,6.0,2.0,14,2.0,21,160,1,High Efficiency,7.62,3.36,7.62
China Town Hotel,13.739425,100.51135,Hotel,75.0,3.0,32,3.0,181,2657,0,Low Efficiency,14.68,480.92,14.68
The Cube Sathorn Boutique Hotel,13.715596,100.52077,Specialty Lodging,8.0,2.0,55,2.0,44,242,1,High Efficiency,5.5,10.65,5.5
My Hotel Pratunam,13.755169,100.53825,Hotel,71.0,3.0,34,3.0,195,2208,0,High Efficiency,11.32,430.56,11.32
New Suanmali Hotel,13.751019,100.51002,Specialty Lodging,60.0,3.0,20,3.0,145,2007,0,High Efficiency,13.84,291.02,13.84
CNC Residence,13.734384,100.56833,Hotel,153.0,0.0,20,0.0,357,3254,2,Low Efficiency,9.11,1161.68,9.11
Kasayapi,13.738124,100.485466,Specialty Lodging,8.0,3.0,17,3.0,28,273,1,High Efficiency,9.75,7.64,9.75
Baan Boran,13.754741,100.49669,Bed and Breakfast,10.0,2.0,22,2.0,36,287,1,High Efficiency,7.97,10.33,7.97
FU House Hostel,13.735258,100.55595,Specialty Lodging,5.0,2.0,32,2.0,30,146,1,High Efficiency,4.87,4.38,4.87
Laksameenarai Guesthouse,13.758872,100.49564,Specialty Lodging,5.0,2.0,17,2.0,20,141,1,High Efficiency,7.05,2.82,7.05
Silom Art Hostel,13.726081,100.52494,Specialty Lodging,40.0,2.0,15,2.0,101,1251,0,High Efficiency,12.39,126.35,12.39
Yolo Bangkok Boutique Hotel,13.746865,100.5589,Specialty Lodging,14.0,3.0,14,3.0,41,482,1,High Efficiency,11.76,19.76,11.76
Chic Hostel,13.737703,100.51537,Specialty Lodging,50.0,2.0,16,2.0,114,1583,0,High Efficiency,13.89,180.46,13.89
Siam Square House,13.747792,100.529305,Hotel,14.0,3.0,24,3.0,44,436,1,High Efficiency,9.91,19.18,9.91
OYO 1084 Guyasuka Ratchada,13.780236,100.57731,Specialty Lodging,60.0,0.0,10,0.0,131,1396,0,High Efficiency,10.66,182.88,10.66
24 Inn Hotel,13.73096,100.5701,Hotel,30.0,2.5,25,3.0,88,975,1,High Efficiency,11.08,85.8,11.08
The Mini R Ratchada,13.773092,100.57321,Bed and Breakfast,29.0,3.0,50,3.0,100,997,1,High Efficiency,9.97,99.7,9.97
Asia Herb Association Spa Auberge Eugenia,13.743023,100.56925,Hotel,7.0,4.0,39,4.0,38,285,1,High Efficiency,7.5,10.83,7.5
JeeSnail Guesthouse,13.69613,100.49607,Bed and Breakfast,10.0,3.0,33,3.0,37,337,1,High Efficiency,9.11,12.47,9.11
Plubpla Hostel,13.727671,100.52657,Specialty Lodging,7.0,2.0,17,2.0,25,218,1,High Efficiency,8.72,5.45,8.72
Sidare Bed And Breakfast,13.787487,100.57546,Specialty Lodging,12.0,3.0,26,3.0,43,403,1,High Efficiency,9.37,17.33,9.37
Boss Mansion,13.713175,100.58489,Specialty Lodging,70.0,3.0,30,3.0,158,2517,0,High Efficiency,15.93,397.69,15.93
